Product,Category,Cost Price,Selling Price,Profit Margin %,Weight (kg),trending_demand_score,not_local_score,shipping_tolerance_score,sourcing_score,compact_score,profit_potential_score,total_score,weighted_scores
Blue Light Glasses,Health & Wellness,5.5,30.0,445.45454545454544,0.1,9.8,9.5,9.8,9.8,9.8,9.5,9.695,"{'trending_demand': 1.9600000000000002, 'not_local': 1.425, 'shipping_tolerance': 1.47, 'sourcing': 1.47, 'compact': 1.47, 'profit_potential': 1.9000000000000001}"
Neck Massagers,Health & Wellness,3.08,32.5,955.1948051948052,0.5,9.2,9.0,9.2,9.5,7.5,9.8,9.08,"{'trending_demand': 1.8399999999999999, 'not_local': 1.3499999999999999, 'shipping_tolerance': 1.38, 'sourcing': 1.425, 'compact': 1.125, 'profit_potential': 1.9600000000000002}"
LED Light Strips,Smart Home,10.0,30.0,200.0,0.2,8.9,8.0,9.5,9.0,9.0,8.7,8.844999999999999,"{'trending_demand': 1.7800000000000002, 'not_local': 1.2, 'shipping_tolerance': 1.425, 'sourcing': 1.3499999999999999, 'compact': 1.3499999999999999, 'profit_potential': 1.74}"
Facial Ice Bath Bowls,Beauty & Personal Care,5.78,29.99,418.8581314878892,0.3,8.3,9.7,9.3,8.5,8.0,9.0,8.785,"{'trending_demand': 1.6600000000000001, 'not_local': 1.4549999999999998, 'shipping_tolerance': 1.395, 'sourcing': 1.275, 'compact': 1.2, 'profit_potential': 1.8}"
Resistance Bands Sets,Fitness,3.13,15.0,379.2332268370608,0.2,8.4,7.0,9.0,9.5,9.5,9.0,8.73,"{'trending_demand': 1.6800000000000002, 'not_local': 1.05, 'shipping_tolerance': 1.3499999999999999, 'sourcing': 1.425, 'compact': 1.425, 'profit_potential': 1.8}"
Wireless Charging Stations,Electronics,11.5,37.5,226.08695652173913,0.3,8.7,7.5,9.0,8.7,8.5,8.8,8.555,"{'trending_demand': 1.74, 'not_local': 1.125, 'shipping_tolerance': 1.3499999999999999, 'sourcing': 1.305, 'compact': 1.275, 'profit_potential': 1.7600000000000002}"
Portable Humidifiers,Health & Wellness,8.0,25.0,212.5,0.3,8.6,7.5,8.5,8.8,8.5,8.5,8.415,"{'trending_demand': 1.72, 'not_local': 1.125, 'shipping_tolerance': 1.275, 'sourcing': 1.32, 'compact': 1.275, 'profit_potential': 1.7000000000000002}"
Wireless Earbuds,Electronics,14.0,52.5,275.0,0.1,9.0,6.5,7.5,8.0,9.8,8.7,8.309999999999999,"{'trending_demand': 1.8, 'not_local': 0.975, 'shipping_tolerance': 1.125, 'sourcing': 1.2, 'compact': 1.47, 'profit_potential': 1.74}"
Portable Power Banks,Electronics,18.5,52.5,183.7837837837838,0.4,8.5,7.0,8.0,8.5,8.0,8.5,8.125,"{'trending_demand': 1.7000000000000002, 'not_local': 1.05, 'shipping_tolerance': 1.2, 'sourcing': 1.275, 'compact': 1.2, 'profit_potential': 1.7000000000000002}"
Pet Cooling Mats,Pet Products,12.0,35.0,191.66666666666669,0.6,8.1,9.0,8.0,8.5,6.0,8.2,7.985,"{'trending_demand': 1.62, 'not_local': 1.3499999999999999, 'shipping_tolerance': 1.2, 'sourcing': 1.275, 'compact': 0.8999999999999999, 'profit_potential': 1.64}"
